MARBLE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX1236,GIALLO ANTICO POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$20.00,Slab
MX291,GIALLO REALE 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$9.10,Tile
MX541,GIALLO REALE POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$12.00,Slab
MX223,NEGRO MARQUINA 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$8.80,Tile
MX426,NEGRO MARQUINA 12X24 HONED,12x24,Honed,"3/8"" (8.5mm)",$7.45,Tile
MX427,NEGRO MARQUINA 12X24 POLISHED,12x24,Polished,"3/8"" (8.5mm)",$7.45,Tile
MX425,NEGRO MARQUINA 18X18 HONED,18x18,Honed,"3/8"" (8.5mm)",$7.45,Tile
MX325,NEGRO MARQUINA 18X18 POLISHED,18x18,Polished,"3/8"" (8.5mm)",$7.45,Tile
MX507,NEGRO MARQUINA POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$12.00,Slab
MX507,NEGRO MARQUINA POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$12.00,Slab
MX8196,OPAL WHITE BRUSHED (POLAR WHITE) MARBLESLAB,Slab,Polished,"3/4"" (20mm)",$31.00,Slab
MX8190,OPAL WHITE POLISHED (POLAR WHITE) MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$28.60,Slab
MX519,OPERA FANTASTICO POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$30.00,Slab
MX286,OYSTER WHITE 12X24 HONED,12x24,Honed,"1/2""",$5.25,Tile
MX262,OYSTER WHITE 12X24 POLISHED,12x24,Polished,"1/2""",$5.25,Tile
MX289,OYSTER WHITE 3X6 HONED SUBWAY,3x6,Honed,"3/8"" (8.5mm)",$4.15,Subway tile
MX288,OYSTER WHITE 6X12 HONED,6X12,Honed,"3/8"" (8.5mm)",$4.75,Tile
MX520,PARANA WHITE HONED MARBLE SLAB,Slab,Honed,"3/4"" (20mm)",$14.00,Slab
MX251,ROSALIA BEIGE 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$4.55,Tile
MX240,ROSSO LEVANTO 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$12.40,Tile
MX242,ROSSO VERONA 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$7.45,Tile
MX539,ROSSO VERONA POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$10.00,Slab
MX343,SANDY BEIGE 12X12 HONED,12x12,Honed,"3/8"" (8.5mm)",$5.35,Tile
MX342,SANDY BEIGE 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$5.35,Tile
MX141,SANDY BEIGE 12X24 POLISHED,12x24,Polished,"3/8"" (8.5mm)",#N/A,Tile
MX346,SANDY BEIGE 18X18 POLISHED,18x18,Polished,"3/8"" (8.5mm)",$5.75,Tile
MX522,SARRANCOLIN POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$24.00,Slab
MX523,STATUARIO ROMANO POLISHED MARBLE SLAB,Slab,Honed,"3/4"" (20mm)",$16.00,Slab
MX601,THASSOS AA WHITE POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$38.00,Slab
MX321,THASSOS WHITE 12X12 AA SELECT POLISHED,12x12,Polished,"3/8"" (8.5mm)",$13.75,Tile
MX984,THASSOS WHITE 12X24 SELECT HONED,12x24,Honed,"1/2""",$22.00,Tile
MX983,THASSOS WHITE 12X24 SELECT POLISHED,12x24,Polished,"1/2""",$22.00,Tile
MX999,THASSOS WHITE 18X18 SELECT HONED,18x18,Honed,"1/2""",$24.75,Tile
MX964,THASSOS WHITE 18X18 SELECT POLISHED,18x18,Polished,"1/2""",$24.75,Tile
MX609,THASSOS WHITE 3X6 HONED SUBWAY,3x6,Honed,"3/8"" (8.5mm)",$13.75,Subway tile
MX608,THASSOS WHITE 3X6 POLISHED SUBWAY,3x6,Polished,"3/8"" (8.5mm)",$13.75,Subway tile
MX864,THASSOS WHITE 4X12 MICRO BEVELED HONED,4x12,Honed,"3/8"" (8.5mm)",$14.30,Tile
MX865,THASSOS WHITE 4X12 MICROBEVELD POLISHED,4x12,Polished,"3/8"" (8.5mm)",$14.30,Tile
MX866,THASSOS WHITE 6X12 HONED,6x12,Honed,"3/8"" (8.5mm)",$14.30,Tile
MX607,THASSOS WHITE 6X12 MICRO BEVELED POLISHED,6x12,Polished,"3/8"" (8.5mm)",$14.30,Tile
MX275,TUNDRA GREY 12X12 HONED,12x12,Honed,"3/8"" (8.5mm)",$6.05,Tile
MX273,TUNDRA GREY 12X12 POLISHED,12x12,Polished,"3/8"" (8.5mm)",$5.50,Tile
MX265-1,TUNDRA GREY 12X24 BEVELED HONED,12x24,Honed,"1/2""",$6.90,Tile
MX265,TUNDRA GREY 12X24 HONED STRIGHT EDGE,12x24,Honed,"1/2""",$6.90,Tile
MX277,TUNDRA GREY 12X24 POLISHED,12x24,Polished,"1/2""",$6.90,Tile
MX266,TUNDRA GREY 18X18 HONED,18x18,Honed,"1/2""",$6.90,Tile
MX274,TUNDRA GREY 18X18 POLISHED,18x18,Polished,"1/2""",$6.90,Tile
MX272,TUNDRA GREY HONED MARBLE SLAB,Slab,Honed,"3/4"" (20mm)",$9.50,Slab
MX404,VERDE BORGOGNA POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$24.00,Slab
MX197,VERDE LAGUNA 12X12 POLISHED,12X12,Polished,"3/8"" (8.5mm)",$16.00,Tile
MX418,WHITE DOLOMITE 12X24 HONED,12x24,Honed,"1/2""",$21.00,Tile
MX417,WHITE DOLOMITE 12X24 POLISHED,12x24,Polished,"1/2""",$21.00,Tile
,,,,,,
LIMESTONE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX8173,BEAUMANIERE 12X24 LIMESTONE HONED,12x24,Honed,"1/2""",$12.00,Tile
MX8120,BEAUMANIERE 18X18 LIMESTONE HONED,18X18,Honed,"1/2""",$12.00,Tile
MX8122,BEAUMANIERE 24X24 LIMESTONE HONED,24X24,Honed,"3/4"" (2cm)",$15.00,Tile
MX65L,BEAUMANIERE HONED LIMESTONE SLAB,Slab,Honed,"3/4"" (2cm)",$18.00,Slab
MX8108,GASCOGNE BEIGE 12X12 HONED LIMESTONE,12x12,Honed,"3/8"" (8.5mm)",$5.25,Tile
MX8155,GASCOGNE BEIGE 12X24 HONED LIMESTONE,12X24,Honed,"1/2""",$6.05,Tile
MX8114,GASCOGNE BEIGE 18X18 HONED LIMESTONE,18X18,Honed,"1/2""",$6.05,Tile
MX9291,GASCOGNE BEIGE 18X36 BRUSHED LIMESTONE,18X36,Brushed,"1/2""",$7.45,Tile
MX9290,GASCOGNE BEIGE 18X36 HONED LIMESTONE 18X36,18x36,Honed,"1/2""",$7.45,Tile
MX8172,GASCOGNE BEIGE 24X24 HONED LIMESTONE,24x24,Honed,"1/2""",$6.60,Tile
MX8146,GASCOGNE BEIGE HONED LIMESTONE SLABS,Slab,Honed,"3/4"" (2cm)",$9.35,Slab
MX8105,GASCOGNE BLUE 12X12 HONED LIMESTONE,12x12,Honed,"3/8"" (8.5mm)",$5.75,Tile
MX8156,GASCOGNE BLUE 12X24 HONED LIMESTONE,12x24,Honed,"1/2""",$6.90,Tile
MX8116,GASCOGNE BLUE 18X18 HONED LIMESTONE,18X18,Honed,"1/2""",$6.90,Tile
MX8183,GASCOGNE BLUE 18X36 BRUSHED LIMESTONE,18X36,Brushed,"1/2""",$7.45,Tile
