MARBLE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX880T,IVORY CHISELED EDGE PATTERN UNFILLED BRUSHED,Pattern,Brushed,"1/2"" (12mm)",$5.50,Pattern
MX863T,MEDITERRANEAN RUSTIC STRAIGHT EDGE PATTERN BRUSHED,Pattern,Brushed,"1/2"" (12mm)",$4.25,Pattern
MX867T,MULTICOLOR CHISELED EDGE PATTERN BRUSHED,Pattern,Brushed,"1/2"" (12mm)",$4.00,Pattern
MX881T,NOCE CHISELED EDGE CONTINUOUS PATTERN BRUSHED,Pattern,Brushed,"1/2"" (12mm)",$4.95,Pattern
MX802T,NOCE STRAIGHT EDGE PATTERN BRUSHED,Pattern,Brushed,"1/2"" (12mm)",$4.50,Pattern
MX348,SANDY BEIGE STRAIGHT EDGE PATTERN HONED,Pattern,Honed,"1/2"" (12mm)",$5.50,Pattern
MX877T,TUSACANY GOLD CHISELED EDGE CONTINUOUS PATTERN BRUSHED,Pattern,Brushed,"1/2"" (12mm)",$5.25,Pattern
MX884T,TUSCANY GOLD CHISELED EDGE PATTERN FILLED HONED,Pattern,Honed,"1/2"" (12mm)",$4.75,Pattern
,,,,,,
MEDALLION,,,,,,
SKU,Description,Size,Finish,Thickness,Price,
MX972,"MEDALLION 504 02 ROSE/GOLD 12""X36"" TUMBLED",12x36,Antique,"3/8"" (8.5mm)",$75.00,Medallion
MX977,MEDALLION MM-32X48-A-2 TUMBLED,32x48,Antique,"3/8"" (8.5mm)",$350.00,Medallion
MX978,MEDALLION MM-36X48-A-3 TUMBLED,36x48,Antique,"3/8"" (8.5mm)",$400.00,Medallion
MX980,MEDALLION MM-36X48-C-2 TUMBLED,36x48,Antique,"3/8"" (8.5mm)",$450.00,Medallion
MX911,MEDALLION MOSAIC ROUND #1180 24X24 TUMBLED,24X24,Antique,"3/8"" (8.5mm)",$100.00,Medallion
MX934,MEDALLION MOSAIC ELLIPSES #1421 48X48 TUMBLED,48X48,Antique,"3/8"" (8.5mm)",$250.00,Medallion
MX962,MEDALLION MOSAIC ROUND #1120 48X48 TUMBLED,48X48,Antique,"3/8"" (8.5mm)",$300.00,Medallion
MX905,"MEDALLION MOSAIC ROUND AKC 39"" WITH BLUE TUMBLED",39X39,Antique,"3/8"" (8.5mm)",$250.00,Medallion
MX958,"MEDALLION ROUND MOSAIC AKC #1000 39"" TUMBLED",39X39,Antique,"3/8"" (8.5mm)",$250.00,Medallion
MX970,"MEDALLION MOSAIC SQUARE #1020 48"" TUMBLED",48X48,Antique,"3/8"" (8.5mm)",$350.00,Medallion
MX959,"MEDALLION MOSAIC SQUARE #1250 48"" TUMBLED",48X48,Antique,"3/8"" (8.5mm)",$350.00,Medallion
MX918,"MEDALLION MOSAIC SQUARE #1500 48"" TUMBLED",48X48,Antique,"3/8"" (8.5mm)",$350.00,Medallion
MX921,"MEDALLION MOSAIC SQUARE #1550 48"" TUMBLED",48X48,Antique,"3/8"" (8.5mm)",$350.00,Medallion
MX936,"MEDALLION MOSAIC SQUARE #1600 48"" HONED",48X48,Honed,"3/8"" (8.5mm)",$450.00,Medallion
MX937,"MEDALLION MOSAIC SQUARE #1620 48"" TUMBLED",48X48,Antique,"3/8"" (8.5mm)",$450.00,Medallion
MX932,MEDALLION MOSAIC-SQUARE-18-A FRUIT BASKET TUMBLED,18X18,Antique,"3/8"" (8.5mm)",$150.00,Medallion
MX968,MEDALLION MOSAIC SQUARE-18-B-1 ROSTER R TUMBLED,18X18,Antique,"3/8"" (8.5mm)",$150.00,Medallion
MX971,MEDALLION MOSAIC SQUARE-18-B-2 ROSTER L TUMBLED,18X18,Antique,"3/8"" (8.5mm)",$150.00,Medallion
,,,,,,
DOLOMITE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX8188,SKY WHITE DOLOMITE HONED SLAB,Slab,Honed,"3/4""",$28.60,Slab
MX1231G,CALACATTA MATARAZZO DOLOMITE POLISHED SLAB,Slab,Polished,"3/4"" (2cm)",$27.00,Slab
MX1231GH,CALACATTA MATARAZZO DOLOMITE SELECT HONED SLAB,Slab,Honed,"3/4"" (2cm)",$40.00,Slab
,,,,,,
"LINERS, BASEBOARDS, CHAIR RAILS, POOL COPINGS",,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX281,BIANCO MARE 1/2X12 MARBLE PENCIL LINER POLISHED,1/2x12,Polished,"1/2""",$4.25,Chair rail
MX308,BIANCO MARE 2X12 MARBLE CHAIR RAIL HONED,2x12,Honed,"2""",$4.75,Chair rail
MX282,BIANCO MARE 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,"2""",$4.75,Chair rail
MX119,BOTTICINO 2X12 MARBLE CHAIR RAIL HONED,2x12,Honed,"2""",$4.35,Chair rail
MX247,BRECCIA GRIGIO 12X1 MARBLE DOME LINER POLISHED,1x12,Polished,"1""",$4.35,Liner
MX246,BRECCIA GRIGIO 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,"2""",$5.35,Baseboard
MX409,CALACATTA GOLD 1/2X12 MARBLE PENCIL LINER HONED,12X1/2,Honed,"1/2""",$8.80,Baseboard
MXORA-49,CALACATTA GOLD 1/2X12 MARBLE PENCIL LINER POLISHED,0.5x12,Polished,"1/2""",$8.03,Chair rail
MXORA-52,CALACATTA GOLD 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,"2""",$12.94,Chair rail
MXORA-62,CALACATTA GOLD 2x12 MARBLE LINER HONED,2x12,Honed,"2""",$12.94,Chair rail
MXORA-62,CALACATTA GOLD 2x12 MARBLE LINER HONED,2x12,Honed,"2""",$12.94,Chair rail
MXORA-65,CALACATTA GOLD 3/4X12 MARBLE DOME LINER HONED,3/4x12,Honed,"3/4""",$8.03,Liner
MXORA-65,CALACATTA GOLD 3/4X12 MARBLE DOME LINER HONED,3/4x12,Honed,"3/4""",$8.03,Dome liner
MXEL-12,CALACATTA GOLD 3/4X12 MARBLE DOME LINER POLISHED,3/4x12,Polished,"3/4""",$8.03,Dome liner
MXEL-12,CALACATTA GOLD 3/4X12 MARBLE DOME LINER POLISHED,3/4x12,Polished,"3/4""",$8.03,Chair rail
MXEL-12,CALACATTA GOLD 3/4X12 MARBLE DOME LINER POLISHED,3/4x12,Polished,"3/4""",$8.03,Liner
MXEL-12,CALACATTA GOLD 3/4X12 MARBLE DOME LINER POLISHED,3/4x12,Polished,"3/4""",$8.03,Liner
MXORA-47,CALACATTA GOLD CROWN 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,"2""",$13.97,Liner
MXEL-5,CARRARA WHITE 12X1/2 MARBLE PENCIL LINER HONED,1/2x12,Honed,"1/2""",$4.67,Liner
MXORA-27,CARRARA WHITE 2X12 MARBLE CHAIR RAIL HONED,2x12,Honed,"2""",$8.28,Liner
MXORA-5,CARRARA WHITE 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,"3/4""",$8.28,Chair rail
MXORA-31,CARRARA WHITE 3/4X12 MARBLE DOME LINER HONED,3/4x12,Honed,"3/4""",$4.67,Dome liner
MXORA-31,CARRARA WHITE 3/4X12 MARBLE DOME LINER HONED,3/4x12,Honed,"3/4""",$4.67,Liner
MXORA-17,CARRARA WHITE MERCER 2X12 MARBLE CHAIR RAIL HONED,2x12,Honed,"2""",$9.06,Dome liner
MXORA-28,CARRARA WHITE MERCER 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,"2""",$9.06,Chair rail
MX274T,CLASSICO 1/2X12 TRAVERTINE PENCIL LINER HONED,1/2x12,Honed,"1/2""",$2.50,Dome liner
MX323T,CLASSICO 1X12 TRAVERTINE L-CAP LINER HONED,1x12,Honed,"3/8""",$3.50,Rope liner
MX331T,CLASSICO 4X12 TRAVERTINE PALEDIAN DECO LINER TUMBLED TRAVERTINE,4x12,Antique,"3/8""",$4.00,Rope liner
MX2T,CLASSICO 4X12 TRAVERTINE POOL COPING HONED,4x12,Honed,"3/4""",$9.50,Pencil liner
MX319T,CLASSICO NOCE 5X12 WAFFLE TRAVERTINE DECO LINER TUMBLED TRAVERTINE,5x12,Antique,"3/8""",$2.50,Pencil liner
MX217T,CLASSICO WITH NOCE 4X12TRAVERTINE HEXAGON DECO LINER TUMBLED TRAVERTINE,4x12,Antique,"3/8""",$3.00,Pencil liner
MX219T,CLASSICO WITH TUSCANY GOLD 4X12 TRAVERTINE HEXAGON DECO LINER TUMBLED,4x12,Antique,"3/8""",$3.00,Chair rail
MX172-1,CREMA MARFIL 12X1 MARBLE DOME LINER HONED,1x12,Honed,"1""",#N/A,Liner
MX172,CREMA MARFIL 12X1 MARBLE DOME LINER POLISHED,1x12,Polished,"1""",#N/A,Chair rail
MX168-1,CREMA MARFIL 2X12 MARBLE CHAIR RAIL HONED,2x12,Honed,"2""",#N/A,Pool coping
MX168,CREMA MARFIL 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,"2""",#N/A,Dome liner
MX114,EMPERADOR DARK-TURKISH 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,"2""",$5.25,Pencil liner
MX301,EMPERADOR LIGHT 1/2X12 MARBLE PENCIL LINER POLISHED,1/2x12,Polished,"1/2""",$4.75,Pencil liner
MX302,EMPERADOR LIGHT 1/2X12MARBLE PENCIL LINER HONED,1/2x12,Honed,"1/2""",$4.75,Chair rail
MX207T,EMPERADOR LIGHT- TURKISH 5X12 MARBLE DECO LINER POLISHED,5X12,Polished,"3/8""",$5.00,Liner
MX300,EMPERADOR LIGHT-TURKISH 1X12 MARBLE DOME LINER POLISHED,1x12,Polished,"3/8"" (8.5mm)",$4.75,Liner
MX181,EMPERADOR LIGHT-TURKISH 2 1/2X12 MARBLE CHAIR RAIL HONED,2 1/2x12,Honed,"2 1/2""",$5.25,Liner
MX113H,EMPERADOR LIGHT-TURKISH 2X12 MARBLE CHAIR RAIL HONED,2x12,Honed,"2""",$5.25,Liner
MX113,EMPERADOR LIGHT-TURKISH 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,"2""",$5.25,Pencil liner
MX271T,IVORY 1X12 TRAVERTINE ROPE LINER HONED,1x12,Honed,1,$4.50,Chair rail
MX224T,IVORY 2X12 TRAVERTINE CHAIR RAIL HONED,2x12,Honed,2,$3.85,Dome liner
MX227T,IVORY 3/4X12 TRAVERTINE DOME LINER HONED,3/4x12,Honed,"3/4""",$2.50,Dome liner
MX273T,NOCE 1/2X12 TRAVERTINE PENCIL LINER HONED,1/2x12,Honed,"1/2""",$3.30,Dome liner
MX324T,NOCE 1X12 TRAVERTINE L-CAP LINER HONED,1x12,Honed,"1""",$3.50,Dome liner
MX98T,NOCE 2X12 TRAVERTINE CHAIR RAIL HONED,2x12,Honed,"2""",$3.85,Liner
MX154T,NOCE 5X12 TRAVERTINE BASEBOARD HONED,5x12,Honed,"3/4""",$4.50,Chair rail
MX170T,NOCE CLASSICO PATTERN 3X12 LINER TUMBLED,3x12,Antique,"3/8""",$3.20,Chair rail
MX182,ONYX 3 COLOR PATTERN 2X10.5 LINER,2x10 1/2,Polished,"3/8""",$5.00,Chair rail
MX292,OYSTER WHITE 1/2X12 MARBLE LINER POLISHED,1/2x12,Polished,"1/2""",$4.35,Dome liner
MX293,OYSTER WHITE 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,"2""",$4.35,Dome liner
MX165,SANDY BEIGE 2 1/2X12 MARBLE CHAIR RAIL POLISH,1/2x12,Polished,2 1/2,#N/A,Chair rail
MX164,SANDY BEIGE 2X12 MARBLE CHAIR RAIL POLISHED,2x12,Polished,2,#N/A,Pencil liner
MX12T,SCABOS 2X12 TRAVERTINE LINER HONED,2x12,Honed,2,$3.50,Chair rail
MX232T,TUSCANY GOLD 1X12 TRAVERTINE DOME LINER HONED,1x12,Honed,1,$2.50,Chair rail
MX272T,TUSCANY GOLD 1X12 TRAVERTINE ROPE LINER HONED,1x12,Honed,1,$4.50,Liner
MX230T,TUSCANY GOLD 3X12 TRAVERTINE LINER HONED,3x12,Honed,1,$4.00,Liner
MX156T,TUSCANY GOLD 5X12 TRAVERTINE BASEBOARD HONED,5x12,Honed,"3/4""",$4.50,Dome liner
MX222T,YELLOW 1/2X12 TRAVERTINE LINER HONED,2 1/2x12,Honed,"3/8"" (8.5mm)",$3.25,Dome liner
