CODE,STOCK NAME,FINISH,PRICE PER SQ.FT,PRICE PER BOX/SLAB,SQ.FT PER BOX,PIECES PER BOX,COLLECTION,THICKNESS
MXCER-127,Volcano Taupe Porcelain Tile 12x24,Matte,$4.50,$52.38,11.64,6,Volcano Series (Rondine),8.5mm
MXCER-126,Volcano Taupe Porcelain Tile 24x48,Matte,$5.00,$77.40,15.48,2,Volcano Series (Rondine),8.5mm
MXCER-129,Volcano White Porcelain Tile 12x24,Matte,$4.20,$48.89,11.64,6,Volcano Series (Rondine),8.5mm
MXCER-128,Volcano White Porcelain Tile 24x48,Matte,$5.50,$85.14,15.48,2,Volcano Series (Rondine),8.5mm
MXCER-229,Volume Light Blue Bamboo Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-230,Volume Light Blue Ladder Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-231,Volume Light Blue Porcelain Tile 2 1/3 x10,Matte,$5.00,$25.80,5.16,32,Volume Series / Rondine,9.5mm
MXCER-232,Volume Light Blue Pyramid Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-225,Volume Ivory Bamboo Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-226,Volume Ivory Ladder Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-227,Volume Ivory Porcelain Tile 2 1/3 x10,Matte,$5.00,$25.80,5.16,32,Volume Series / Rondine,9.5mm
MXCER-228,Volume Ivory Pyramid Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-237,Volume Sage Bamboo Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-238,Volume Sage Ladder Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-239,Volume Sage Porcelain Tile 2 1/3 x10,Matte,$5.00,$25.80,5.16,32,Volume Series / Rondine,9.5mm
MXCER-240,Volume Sage Pyramid Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-233,Volume Ocean Bamboo Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-234,Volume Ocean Ladder Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-235,Volume Ocean Porcelain Tile 2 1/3 x10,Matte,$5.00,$25.80,5.16,32,Volume Series / Rondine,9.5mm
MXCER-236,Volume Ocean Pyramid Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-241,Volume White Bamboo Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-242,Volume White Ladder Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-243,Volume White Porcelain Tile 2 1/3 x10,Matte,$5.00,$25.80,5.16,32,Volume Series / Rondine,9.5mm
MXCER-244,Volume White Pyramid Porcelain Tile 2 1/3 x10,Matte,$5.50,$28.38,5.16,32,Volume Series / Rondine,9.5mm
MXCER-13,Woodstock Sand (Ab-L8) 9X35 Matte Porcelain Tile | 8.5Mm,Matte,$2.25,$19.69,8.75,4,Woodstock Series / Tau,8.5mm
MXCER-12,Woodstock Almond (Ab-L8) 9X35 Matte Porcelain Tile | 8.5Mm,Matte,$2.25,$19.69,8.75,4,Woodstock Series / Tau,8.5mm
MXCER-11,Woodstock Brown (Ab-L8) 9X35 Matte Porcelain Tile | 8.5Mm,Matte,$2.25,$19.69,8.75,4,Woodstock Series / Tau,8.5mm
MXCER-10,Woodstock Graphite (Ab-L8) 9X35 Matte Porcelain Tile | 8.5Mm,Matte,$2.25,$19.69,8.75,4,Woodstock Series / Tau,8.5mm
