CODE,STOCK NAME,FINISH,PRICE PER SQ.FT,PRICE PER BOX/SLAB,SQ.FT PER BOX,PIECES PER BOX,COLLECTION,THICKNESS
MXCER-175,Pris Light (Start Light) Porcelain Tile 24x24,Matte,$3.00,$24.00,8.00,2,Start Series/Prissma Cer,20mm
MXCERSLB-108,Florim Marfil Finish 63X126 Matte Porcelain Slab | 12Mm,Matte,$16.50,,SLAB,1,"Stone Slab Series / Florim, Florim Porcelain Slabs",12mm
MXCERSLB-109,Florim Marfil Glossy Finish 63X126 Porcelain Slab | 12Mm,Glossy,$16.50,,SLAB,1,"Stone Slab Series / Florim, Florim Porcelain Slabs",12mm
MXCERSLB-103,Florim Luciana Stone-Look Finish 63X126 Leather Porcelain Slab | 12Mm,Leather,$16.35,,SLAB,1,Stone Slab Series / Florim,12mm
MXCERSLB-100,Florim Pearl Silk Finish 63X126 Porcelain Slab | 12Mm,Silk,$16.35,,SLAB,1,Stone Slab Series / Florim,12mm
MXCERSLB-110,Florim Jura Silk Finish 63X126 Porcelain Slab | 12Mm,Silk,$16.50,,SLAB,1,"Stone Slab Series / Florim, Florim Porcelain Slabs",12mm
MXCERSLB-106,Florim Dijon -Look Lithos Finish 63X126 Porcelain Slab | 12Mm,Lithos,$16.35,,SLAB,1,Stone Slab Series / Florim,12mm
MXCERSLB-101,Florim Gold Silk Finish 63X126 Porcelain Slab | 12Mm,Silk,$16.35,,SLAB,1,Stone Slab Series / Florim,12mm
MXCERSLB-104,Florim Mont Pellie -Look Finish 63X126 Leather Porcelain Slab | 12Mm,Leather,$16.35,,SLAB,1,Stone Slab Series / Florim,12mm
MXCERSLB-105,Florim Chablis -Look Finish 63X126 Leather Porcelain Slab | 12Mm,Leather,$16.50,,SLAB,1,Stone Slab Series / Florim,12mm
MXCER-206,Stonetech Black-Stone-06 Porcelain Tile 24x48,R11,$5.75,$89.13,15.50,2,Stonetech Series/Florim,9mm
MXCER-205,Stonetech Grey-Stone-05 Porcelain Tile 24x48,R11,$5.75,$89.13,15.50,2,Stonetech Series/Florim,9mm
MXCER-151,Casamood Rubber Porcelain Tile 24x24,Matte,$4.75,$55.20,11.62,3,Studios Series/Florim,8.5mm
MXCER-152,Casamood Chalk Porcelain Tile 24x24,Matte,$4.75,$55.20,11.62,3,Studios Series/Florim,8.5mm
MXCER-139,Tempo Decor Basket (Grey) Porcelain Tile 10x30,Matte,$2.00,$32.32,16.16,8,Tempo Series/Newker,8.5mm
MXCER-140,Tempo Decor Wave (Wall) Porcelain Tile 10x30,Matte,$2.00,$32.32,16.16,8,Tempo Series/Newker,8.5mm
MXCER-138,Tempo Grey Porcelain Tile 10x30,Matte,$2.00,$32.32,16.16,8,Tempo Series/Newker,8.5mm
MXCER-141,Tempo Grey Porcelain Tile 36x36,Matte,$2.50,$43.55,17.42,2,Tempo Series/Newker,8.5mm
MXCER-142,Tempo Decor Basket (White) Porcelain Tile 10x30,Matte,$2.00,$32.32,16.16,8,Tempo Series/Newker,8.5mm
MXCER-143,Tempo Decor Wave (Wall) Porcelain Tile 10x30,Matte,$2.00,$32.32,16.16,8,Tempo Series/Newker,8.5mm
MXCER-144,Tempo White Porcelain Tile 10x30,Matte,$2.00,$32.32,16.16,8,Tempo Series/Newker,8.5mm
MXMC-211,Argilla Hexagon Porcelain Tile 8.5x10,Honed,$5.50,$69.80,12.69,29,Terracreta Series/Marca Corona,9mm
MXMC-219,Argilla Porcelain Tile 8x8,Honed,$5.50,$70.95,12.90,30,Terracreta Series/Marca Corona,9mm
MXMC-222,Forma Argilla Porcelain Tile 8x8,Honed,$5.50,$61.49,11.18,26,Terracreta Series/Marca Corona,9mm
MXMC-223,Rilievo Argilla Porcelain Tile 8x8,Honed,$5.50,$61.49,11.18,26,Terracreta Series/Marca Corona,9mm
MXMC-217,Intarsio Argilla Hexagon Porcelain Tile 8.5x10,Honed,$5.50,$69.80,12.69,29,Terracreta Series/Marca Corona,9mm
MXMC-214,Oltremare Hexagon Porcelain Tile 8.5x10,Honed,$5.50,$69.80,12.69,29,Terracreta Series/Marca Corona,9mm
MXMC-221,Oltremare Porcelain Tile 8x8,Honed,$5.50,$70.95,12.90,30,Terracreta Series/Marca Corona,9mm
MXMC-226,Dipinto Chamotte Hexagon Porcelain Tile 8.5x10,Honed,$5.50,$69.80,12.69,29,Terracreta Series/Marca Corona,9mm
MXMC-225,Dipinto Marna Hexagon Porcelain Tile 8.5x10,Honed,$5.50,$69.80,12.69,29,Terracreta Series/Marca Corona,9mm
MXMC-212,Chamotte Hexagon Porcelain Tile 8.5x10,Honed,$5.50,$69.80,12.69,29,Terracreta Series/Marca Corona,9mm
MXMC-216,Cesello Chamotte Hexagon Porcelain Tile 8.5x10,Honed,$5.50,$69.80,12.69,29,Terracreta Series/Marca Corona,9mm
MXMC-224,Intarsio Chamotte Hexagon Porcelain Tile 8.5x10,Honed,$5.50,$69.80,12.69,29,Terracreta Series/Marca Corona,9mm
MXMC-213,Marna Hexagon Porcelain Tile 8.5x10,Honed,$5.50,$69.80,12.69,29,Terracreta Series/Marca Corona,9mm
MXMC-220,Marna Porcelain Tile 8x8,Honed,$5.50,$70.95,12.90,30,Terracreta Series/Marca Corona,9mm
MXMC-215,Cesello Argilla Hexagon Porcelain Tile 8.5x10,Honed,$5.50,$69.80,12.69,29,Terracreta Series/Marca Corona,9mm
MX208207,Newker Tevere Decor Porcelain Tile 12x36,Matte,$2.75,$31.93,11.61,4,Tevere Series/Newker,10mm
MXCER-38,Timeless Travertino Antique Porcelain Tile 12x24,R11,$4.65,$53.99,11.61,6,Timeless Series/Florim,9mm
MXCER-37,Timeless Travertino Matte Porcelain Tile 12x24,Matte,$4.65,$53.99,11.61,6,Timeless Series/Florim,9mm
MXCER-72,Timeless Travertino Matte Porcelain Tile 24x48,Matte,$5.25,$81.38,15.50,2,Timeless Series/Florim,9mm
MXCER-39,Timeless Travertino Polished Porcelain Tile 12x24,Polished,$5.00,$58.05,11.61,6,Timeless Series/Florim,9mm
MXCER-73,Timeless Travertino Polished Porcelain Tile 24x48,Polished,$6.00,$93.00,15.50,2,Timeless Series/Florim,9mm
MXCER-31,Timeless Black Deep Porcelain Tile 12x24,Matte,$4.25,$49.34,11.61,6,Timeless Series/Florim,9mm
MXCER-33,Timeless Black Deep Porcelain Tile 12x24,Polished,$5.00,$58.05,11.61,6,Timeless Series/Florim,9mm
MXCER-32,Timeless Black Deep Porcelain Tile 12x24,R11,$4.25,$49.34,11.61,6,Timeless Series/Florim,9mm
MXCER-35,Timeless Amani Grey Porcelain Tile 12x24,R11,$4.65,$53.99,11.61,6,Timeless Series/Florim,9mm
MXCER-34,Timeless Amani Grey Porcelain Tile 12x24,Matte,$4.25,$49.34,11.61,6,Timeless Series/Florim,9mm
MXCER-36,Timeless Amani Grey Porcelain Tile 12x24,Polished,$5.00,$58.05,11.61,6,Timeless Series/Florim,9mm
