vendor,product_name,collection,variant_name,product_color,conflicting_url_color,asset_type,url
Arizona Tile,Brown,Essence,8x48,brown,cream,alternate,https://arizonatile.widen.net/content/xhu4ml8dlv/jpeg/Amb-essence-30x120-cream.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Brown,Essence,8x48,brown,grey,alternate,https://arizonatile.widen.net/content/z9paprs1eo/jpeg/Amb-essence-20x120-grey.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Cream,Essence,8x48,cream,brown,alternate,https://arizonatile.widen.net/content/lldqs2qiyd/jpeg/Essence-brown-26%2C5x180.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Grey,Essence,8x48,grey,brown,alternate,https://arizonatile.widen.net/content/lldqs2qiyd/jpeg/Essence-brown-26%2C5x180.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Grey,Essence,8x48,grey,cream,alternate,https://arizonatile.widen.net/content/xhu4ml8dlv/jpeg/Amb-essence-30x120-cream.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Fishing Net Oriental White W Black Dot,Fishing Net,"13-1/2x11-3/4, Polished",black,blue,alternate,https://arizonatile.widen.net/content/ju6ulygbfe/jpeg/Fishing-Net-Oriental-White-with-Blue-Dots.jpeg?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Fishing Net Oriental White W Blue Dot,Fishing Net,"13-1/2x11-3/4, Polished",blue,black,alternate,https://arizonatile.widen.net/content/zyluqdejrd/webp/Fishing-Net-Oriental-White-With-Black-Dots.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Cool Grey,Flash,3x12,grey,blue,lifestyle,https://arizonatile.widen.net/content/ewpvixgp6i/webp/Flash-Blue-Bathroom.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Flash,3x12,ivory,blue,lifestyle,https://arizonatile.widen.net/content/ewpvixgp6i/webp/Flash-Blue-Bathroom.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,White,Flash,3x12,white,blue,lifestyle,https://arizonatile.widen.net/content/ewpvixgp6i/webp/Flash-Blue-Bathroom.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Fraser River Carrara W Black,Fraser River,"10-1/4x12-1/2, Polished",black,blue,alternate,https://arizonatile.widen.net/content/gifygs0orn/webp/Fraser-River-Thassos-with-Blue.webp?w=765&h=765&position=c&quality=80&x.app=portals
