Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
BF15-2-8-HMP,"Carved Wood",,"3"" Square x 8"" Bullnose with Taper Bun Foot, Species:  Hard Maple",843512060014,0.00000,27.00000,$24.01,$24.01,$40.02
BF15-2-8-RW,"Carved Wood",,"3"" Square x 8"" Bullnose with Taper Bun Foot, Species:  Rubberwood",843512060021,0.00000,27.00000,$15.05,$15.05,$25.08
BF15-2-8-WB,"Carved Wood",,"3"" Square x 8"" Bullnose with Taper Bun Foot, Species:  White Birch",843512060038,0.00000,27.00000,$16.54,$16.54,$27.57
BF16-1-ALD,"Carved Wood",,"5"" Round x 4-1/2"" Turned Pot Belly Bun Foot, Species:  Alder",843512068928,0.00000,20.00000,$21.01,$21.01,$35.02
BF16-1-CH,"Carved Wood",,"5"" Round x 4-1/2"" Turned Pot Belly Bun Foot, Species:  Cherry",843512068935,0.00000,20.00000,$35.17,$35.17,$58.62
BF16-1-HMP,"Carved Wood",,"5"" Round x 4-1/2"" Turned Pot Belly Bun Foot, Species:  Hard Maple",843512068942,0.00000,20.00000,$28.92,$28.92,$48.19
BF16-1-RW,"Carved Wood",,"5"" Round x 4-1/2"" Turned Pot Belly Bun Foot, Species:  Rubberwood",843512068959,0.00000,20.00000,$13.89,$13.89,$23.15
BF16-1-WB,"Carved Wood",,"5"" Round x 4-1/2"" Turned Pot Belly Bun Foot, Species:  White Birch",843512068966,0.00000,20.00000,$20.57,$20.57,$34.29
BF16-2-ALD,"Carved Wood",,"3-1/2"" Round x 4-1/2"" Tulip Bun Foot with Cove Groove, Species:  Alder",843512068973,0.00000,27.00000,$18.17,$18.17,$30.29
BF16-2-CH,"Carved Wood",,"3-1/2"" Round x 4-1/2"" Tulip Bun Foot with Cove Groove, Species:  Cherry",843512068980,0.00000,27.00000,$29.60,$29.60,$49.33
BF16-2-HMP,"Carved Wood",,"3-1/2"" Round x 4-1/2"" Tulip Bun Foot with Cove Groove, Species:  Hard Maple",843512068997,0.00000,27.00000,$24.98,$24.98,$41.64
BF16-2-RW,"Carved Wood",,"3-1/2"" Round x 4-1/2"" Tulip Bun Foot with Cove Groove, Species:  Rubberwood",843512069000,0.00000,27.00000,$11.99,$11.99,$19.99
