Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
APT9-2B-P-BZ-R,"Light & Power",,"9"" APT, BZ finish, BK single receptacles, RT wire entry",840002525893,1.00000,6.00000,$141.95,$141.95,$189.79
APT9-2G-P-SN-L,"Light & Power",,"9"" APT, SN finish, GRY single receptacle, LFT wire entry",840002525909,1.00000,6.00000,$141.95,$141.95,$189.79
APT9-2G-P-SN-R,"Light & Power",,"9"" APT, SN finish, GRY single receptacle, RT wire entry",840002525916,1.00000,6.00000,$141.95,$141.95,$189.79
APT9-2W-P-WT-L,"Light & Power",,"9"" APT, WT finish, WT single receptacles, LFT wire entry",840002525947,1.00000,6.00000,$141.95,$141.95,$189.79
APT9-2W-P-WT-R,"Light & Power",,"9"" APT, WT finish, WT single receptacles, RT wire entry",840002525954,1.00000,6.00000,$141.95,$141.95,$189.79
APTUL18-2BBK,"Light & Power",,"18"" APT 1PCS 20A receptacle + 1PCS USB-AC Left w/ wire entry Right, Black powder finish, Black single receptacle",196734056632,1.00000,1.00000,$188.76,$188.76,$252.36
APTUL18-2BBZ,"Light & Power",,"18"" APT 1PCS 20A receptacle + 1PCS USB-AC Left w/ wire entry Right, Bronze powder finish, Black single receptacle",196734056649,1.00000,1.00000,$188.76,$188.76,$252.36
APTUL18-2GSN,"Light & Power",,"18"" APT 1PCS 20A receptacle + 1PCS USB-AC Left w/ wire entry Right, Satin Nickel powder finish, Grey single receptacle",196734056656,1.00000,1.00000,$188.76,$188.76,$252.36
APTUL18-2WWT,"Light & Power",,"18"" APT 1PCS 20A receptacle + 1PCS USB-AC Left w/ wire entry Right, White powder finish, White single receptacle",196734056663,1.00000,1.00000,$188.76,$188.76,$252.36
APTUL24-4BBK,"Light & Power",,"24"" APT 3PCS 20A receptacle + 1PCS USB-AC Left w/ wire entry Right, Black powder finish, Black single receptacle",196734056670,1.00000,1.00000,$215.08,$215.08,$287.56
APTUL24-4BBZ,"Light & Power",,"24"" APT 3PCS 20A receptacle + 1PCS USB-AC Left w/ wire entry Right, Bronze powder finish, Black single receptacle",196734056687,1.00000,1.00000,$215.08,$215.08,$287.56
APTUL24-4GSN,"Light & Power",,"24"" APT 3PCS 20A receptacle + 1PCS USB-AC Left w/ wire entry Right, Satin Nickel powder finish, Grey single receptacle",196734056694,1.00000,1.00000,$215.08,$215.08,$287.56
