Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
BM3HMP,Moulding,,"1"" x 1/4"" Beauty Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 64 LF (8 sticks).",840002536158,64.00000,640.00000,$1.86,$1.62,$2.70
BM3OK,Moulding,,"***NRB***1"" x 1/4"" Beauty Moulding, Species: Red Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 64 LF (8 sticks).",840002536172,0.00000,64.00000,$1.35,$1.17,$1.96
BM3POP,Moulding,,"1"" x 1/4"" Beauty Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 64 LF (8 sticks).",840002536165,64.00000,640.00000,$1.31,$1.14,$1.90
BM4ALD,Moulding,,"*NRB* 1-1/2"" x 3/4"" Beauty Moulding, Species: Alder. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536196,0.00000,24.00000,$6.98,$6.07,$10.11
BM4CH,Moulding,,"*NRB* 1-1/2"" x 3/4"" Beauty Moulding, Species: Cherry. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536202,0.00000,24.00000,$6.52,$5.67,$9.45
BM4HMP,Moulding,,"1-1/2"" x 3/4"" Beauty Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512024405,24.00000,144.00000,$4.39,$3.82,$6.37
BM4OK,Moulding,,"*NRB* 1-1/2"" x 3/4"" Beauty Moulding, Species: Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536189,0.00000,24.00000,$3.39,$2.95,$4.92
BM4POP,Moulding,,"1-1/2"" x 3/4"" Beauty Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512041709,24.00000,144.00000,$2.65,$2.30,$3.83
CC1ALD,Moulding,,"*NRB* 2-3/4"" x 3/4"" 3 Flute Corner Moulding, Species: Alder. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512046803,0.00000,24.00000,$12.75,$11.09,$18.48
CC1CH,Moulding,,"*NRB* 2-3/4"" x 3/4"" 3 Flute Corner Moulding, Species: Cherry. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536448,0.00000,24.00000,$12.04,$10.47,$17.46
CC1HMP,Moulding,,"*NRB* 2-3/4"" x 3/4"" 3 Flute Corner Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512048142,0.00000,24.00000,$8.25,$7.17,$11.95
CC1OK,Moulding,,"*NRB* 2-3/4"" x 3/4"" 3 Flute Corner Moulding, Species: Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512046797,0.00000,24.00000,$6.27,$5.45,$9.09
CC1POP,Moulding,,"*NRB* 2-3/4"" x 3/4"" 3 Flute Corner Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512048203,0.00000,24.00000,$4.65,$4.04,$6.74
