Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
295B-DBAC,Organizers,,"12"" Sliding Belt Rack. 6 Belt Hooks, 50 mm Spacing",843512073052,0.00000,20.00000,$25.19,$25.19,$55.98
295B-MB,Organizers,,"Matte Black 12"" Sliding Belt Rack",196734036597,0.00000,20.00000,$23.23,$23.23,$51.62
295B-PC,Organizers,,"12"" Sliding Belt Rack. 6 Belt Hooks, 50 mm Spacing",843512070976,0.00000,20.00000,$21.25,$21.25,$47.22
295T-DBAC,Organizers,,"12"" Sliding Tie Rack. 6 Sets of Pegs to Hold 12 Ties",843512073069,0.00000,20.00000,$27.55,$27.55,$61.21
295T-MB,Organizers,,"Matte Black 12"" Sliding Tie Rack",196734036603,0.00000,20.00000,$22.88,$22.88,$50.82
295T-PC,Organizers,,"12"" Sliding Tie Rack. 6 Sets of Pegs to Hold 12 Ties",843512070983,0.00000,20.00000,$18.19,$18.19,$40.43
295W-DBAC,Organizers,,"12"" Sliding Wardrobe/ Valet Rod.Built-in Stopper on Ends. Finish: Brushed Oil Rubbed Bronze",843512073076,0.00000,20.00000,$23.43,$23.43,$52.07
295W-MB,Organizers,,"Matte Black 12"" Sliding Valet Rod",196734035354,0.00000,20.00000,$24.50,$24.50,$54.43
295W-PC,Organizers,,"12"" Sliding Wardrobe/ Valet Rod.Built-in Stopper on Ends.Finish: Chrome",843512070990,0.00000,20.00000,$25.57,$25.57,$56.82
296B-DBAC,Organizers,,"11"" Screw Mounted Belt Rack.Finish: Brushed Oil Rubbed Bronze",843512047558,4.00000,40.00000,$15.77,$15.77,$35.05
296B-MB,Organizers,,"Matte Black 11"" Screw Mounted Belt Rack",196734036610,4.00000,40.00000,$14.58,$14.58,$32.39
296B-PC,Organizers,,"11"" Screw Mounted Belt Rack.Assembly Screws Included.Finish: Polished Chrome",843512047565,4.00000,40.00000,$13.37,$13.37,$29.73
296T-DBAC,Organizers,,"11"" Screw Mounted Tie Rack.Assembly Screws Included.Finish: Brushed Oil Rubbed Bronze",843512047534,4.00000,40.00000,$16.10,$16.10,$35.78
296T-MB,Organizers,,"Matte Black 11"" Screw Mounted Tie Rack",196734036627,4.00000,40.00000,$15.84,$15.84,$35.20
